Record ID#,English Name,Official Name,Operator (primary),Operator (additional),Type,Seasonality,Status,Year Established,Antarctic Region,Latitude (DD),Longitude (DD),Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified
60,Syowa,Syowa Station,Japan,,Station,Year-Round,Open,1957,Dronning Maud Land,-69.004122,39.581836,69° 0.2473' S,39° 34.9102' E,29,MSL,170,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r60/e56/v0/Syowa%20Station.jpg,http://www.nipr.ac.jp/webcam-top.html,3/15/2021 1:03
107,Dirck Gerritsz Laboratory,Dirck Gerritsz Laboratory,Netherlands,United Kingdom,Laboratory,Seasonal,Open,2012,Antarctic Peninsula,-67.568636,-68.124377,67° 34.1182' S,68° 7.4626' W,16,MSL,10,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r107/e56/v0/Gerritsz_Lab_Vanderkroef_Jan2013.JPG,,3/27/2018 15:30
61,Scott Base,Scott Base Station,New Zealand,,Station,Year-Round,Open,1957,,-77.849437,166.767281,77° 50.9662' S,166° 46.0369' E,10,,86,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r61/e56/v0/Scott%20Base.jpg,https://www.antarcticanz.govt.nz/scott-base/webcams-weather,2/15/2023 17:19
62,Tor,Tor,Norway,,Refuge,Seasonal,Open,1993,,-71.889515,5.159893,71° 53.3709' S,5° 9.5936' E,"1,625",WGS84,6,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r62/e56/v0/Tor%20Station%202018%20Seb%20Descamps.jpg,,9/11/2023 9:04
63,Troll Station,Troll Forskningsstasjon,Norway,,Station,Year-Round,Open,1990,,-72.011946,2.53307,72° 0.7168' S,2° 31.9842' E,"1,275",WGS84,80,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r63/e56/v0/Troll%202019%20Sven%20Lidstrom.jpg,https://www.npolar.no/en/troll/webcam/,9/11/2023 8:53
64,Machu Picchu,Machu Picchu Station ,Peru,,Station,Seasonal,Open,1989,Antarctic Peninsula,-62.09159252,-58.47055896,62° 5.4956' S,58° 28.2335' W,3.5,MSL,30,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r64/e56/v0/Machu%20Pichu%20Station_Peruvian%20National%20Antarctic%20Program.jpg,,5/6/2020 3:05
65,Henryk Arctowski,Henryk Arctowski Polish Antarctic Station,Poland,,Station,Year-Round,Open,1977,,-62.159773,-58.473322,62° 9.5864' S,58° 28.3993' W,2,WGS84,40,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r65/e56/v0/arctowski_overlook_latusek_280116.JPG,,2/13/2024 1:44
101,Mountain Evening,Mountain Vechernyaya,Republic of Belarus,,Station,Seasonal,Open,2006,East Antarctica,-67.658333,46.153333,67° 39.5' S,46° 9.2' E,95,MSL,12,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r101/e56/v0/Geographical%20complex%20Mountain%20Vechernua_First%20building%20Belarus%20Antarctic%20station%20_Torbic_16.01.21.jpg,,9/14/2021 16:06
106,Jang Bogo,Jang Bogo,Republic of Korea,,Station,Year-Round,Open,2014,,-74.623333,164.2,74° 37.4' S,164° 12' E,36.6,MSL,80,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r106/e56/v0/JBG_.jpg,https://monitor.kopri.re.kr/cctv/view.html?base=jangbogo,2/13/2024 23:32
105,King Sejong,King Sejong,Republic of Korea,,Station,Year-Round,Open,1988,,-62.216667,-58.783333,62° 13' S,58° 47' W,10,MSL,78,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r105/e56/v0/KSJ_201803.jpg,https://monitor.kopri.re.kr/cctv/view.html?base=sejong,2/13/2024 23:32
